"(Intercept)";"idade";"sexo";"trat";"idade:sexo";"idade:trat";"sexo:trat";"idade:sexo:trat";"R^2";"deviance";"df";"logLik";"AICc";"delta";"weight"
-1,71270401364661;0,016884137100092;NA;"+";NA;NA;NA;NA;0,29823387187215;380,149604634916;3;-602,362731662117;1210,81568888814;0;0.271856420911959
-1,47047118879456;0,0121837510614937;NA;"+";NA;"+";NA;NA;0,302565332324537;378,47793883614;4;-601,526898762729;1211,20474092168;0,38905203354102;0.223798936948941
-1,69104392416672;0,0168855521348373;"+";"+";NA;NA;"+";NA;0,303732347031285;378,025770478812;5;-601,300814584065;1212,8289018954;2,01321300725931;0.0993518469341483
-1,71645753632986;0,016885552134837;"+";"+";NA;NA;NA;NA;0,298298853375879;380,1246022621;4;-602,350230475708;1212,85140434764;2,03571545950035;0.098240281800205
-1,4482591432199;0,0121752704026536;"+";"+";NA;"+";"+";NA;0,308047207088435;376,347339692708;6;-600,461599191013;1213,24259001701;2,42690112886362;0.0807876007914769
-1,47422331371573;0,0121851659043994;"+";"+";NA;"+";NA;NA;0,302629864198836;378,452955259901;5;-601,514406974609;1213,25608667649;2,44039778834804;0.0802442548231277
-1,62600540169663;0,015625328067759;"+";"+";"+";NA;"+";NA;0,304014835187187;377,916204454357;6;-601,246031571837;1214,81145477866;3,99576589051253;0.0368697384130712
-1,65141901385979;0,0156253280677591;"+";"+";"+";NA;NA;NA;0,298583545996683;380,015036237645;5;-602,295447463481;1214,81816765423;4,0024787660916;0.0367461948788482
-1,41000236954463;0,010940801610633;"+";"+";"+";"+";NA;NA;0,302908110933813;378,345205291668;6;-601,460531990493;1215,24045561597;4,42476672782323;0.0297518316665742
-1,39707191855742;0,0111800966587504;"+";"+";"+";"+";"+";NA;0,308238433722965;376,272712741981;7;-600,424285715649;1215,27605234733;4,46036345918606;0.0292269822727557
-1,43773716163955;0,0119707635650744;"+";"+";"+";"+";"+";"+";0,30844473169242;376,192181007279;8;-600,384019848298;1217,31976383453;6,50407494638421;0.0105195621891249
-0,846511542281032;NA;NA;"+";NA;NA;NA;NA;0,265140068883003;392,591127263585;2;-608,583492976451;1221,21192977313;10,3962408849841;0.00150253490755687
-0,824634000809992;NA;"+";"+";NA;NA;"+";NA;0,27089263396387;390,469221167823;4;-607,52253992857;1223,19602325337;12,3803343652239;0.000557165408480148
-0,850047612973148;NA;"+";"+";NA;NA;NA;NA;0,265202867635396;392,568052951111;3;-608,571955820214;1223,23413720434;12,4184483161946;0.000546648053730849
-1,9498725546107;0,016884137100092;NA;NA;NA;NA;NA;NA;0,0450341644547737;463,329953951419;2;-643,952906320368;1291,95075646096;81,1350675728181;6.54762091201975e-19
-1,95362607729396;0,0168855521348372;"+";NA;NA;NA;NA;NA;0,0451225915154659;463,304951578603;3;-643,94040513396;1293,97103583183;83,1553469436869;2.38443471313462e-19
-1,88858755482387;0,0156253280677589;"+";NA;"+";NA;NA;NA;0,0455100022433457;463,195385554148;4;-643,885622121732;1295,92218763969;85,1064987515485;8.98872727936544e-20
-1,08368008324513;NA;NA;NA;NA;NA;NA;NA;0;475,771476580088;1;-650,173667634703;1302,36226064254;91,5465717543966;3.59132013067034e-21
-1,08721615393724;NA;"+";NA;NA;NA;NA;NA;0,0000854567649343219;475,748402267614;2;-650,162130478465;1304,36920477716;93,5535158890127;1.31659359602992e-21
